Route_ID,Origin,Destination,,Distance,Shift,Demand,Travel_Time,Bus_Type,Bus_Capacity
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Morning Peak,65,19.49,I,60
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Morning Peak,50,19.49,II,90
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Morning Off-Peak,35,19.49,I,60
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Morning Off-Peak,31,19.49,II,90
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Evening Peak,31,19.49,I,60
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Evening Peak,57,19.49,II,90
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Evening Off-Peak,38,19.49,I,60
1,Stop_9,Stop_17,"Stop_9, Stop_17, Stop_34, Stop_24, Stop_28, Stop_33, Stop_39, Stop_22, Stop_17",6,Evening Off-Peak,36,19.49,II,90
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Morning Peak,28,28.2,I,60
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Morning Peak,46,28.2,II,90
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Morning Off-Peak,22,28.2,I,60
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Morning Off-Peak,49,28.2,II,90
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Evening Peak,39,28.2,I,60
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Evening Peak,47,28.2,II,90
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Evening Off-Peak,38,28.2,I,60
